location,avg_temperature,avg_wind_speed,avg_pressure
Beijing,-0.35961537750867695,2.4615384431985707,1033.8653846153845
Moscow,-6.900000086197486,3.0807692385636845,1018.4038461538462
London,3.1296295854780407,3.5759259771417686,1019.7592592592592
Sydney,17.924999933976395,3.3173076327030477,1015.0576923076923
Tokyo,2.4461538528020563,3.8153846309735227,1009.9230769230769
Paris,4.878181825984608,3.238181820782748,1018.7636363636364
Lyon,5.112962952366582,1.5129629605346255,1018.4444444444445
Ṣo Paulo,23.269230915949894,4.446153844778355,987.1346153846154
Dubai,23.746154088240402,2.9384615306670847,1015.4807692307693
New York,-0.798148168457879,4.025925892370719,1015.4629629629629
