location,avg_temperature,avg_wind_speed,avg_pressure
Beijing,3.374999930461248,3.1083332896232605,1030.0833333333333
Moscow,-10.183333396911621,4.766666670640309,1016.4166666666666
London,2.871428574834551,3.871428574834551,1021.9285714285714
Sydney,18.483333428700764,5.691666642824809,1016.5
Tokyo,7.866666714350383,3.441666622956594,1006.3333333333334
Paris,4.606666644414266,3.3333333333333335,1019.6
Lyon,5.107142891202654,1.6785714157990046,1017.3571428571429
Ṣo Paulo,27.058333079020183,2.783333351214727,1014.0833333333334
Dubai,25.741666793823242,3.808333307504654,1013.75
New York,1.0071428673607963,6.542857101985386,999.6428571428571
